artist_names;song_name;track_id;release_date;duration_ms;genres;explicit;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
['KANKAN', 'Yeat'];Fuk Tha Clout (feat. Yeat);2u8p7hcPih3EhieDLnsnUH;2021-10-05;168401;['pluggnb', 'rage rap'];True;55;0.544;0.34;1;-14.164;1;0.305;0.0176;0;0.257;0.147;154.101
['03 Greedo'];Substance;0MoQI1EZGSHLhd5UBdxPol;2018-03-09;219834;['melodic rap', 'cali rap'];True;66;0.599;0.32;3;-13.716;0;0.0787;0.26;0;0.106;0.197;70.998
['Travis Scott'];NC-17;6BJbOXDlgVAXSaq6wYFYT2;2018-08-03;156886;['rap', 'slap house'];True;63;0.804;0.763;2;-5.48;1;0.0519;0.0678;0;0.368;0.0585;136.052
['Brent Faiyaz'];Forever Yours;2JqkpMe2eJToJNHEqkJeCu;2023-10-27;96369;['rap', 'r&b'];True;78;0.646;0.503;2;-7.472;1;0.0312;0.00426;0.000279;0.652;0.789;137.007
['A$AP Rocky'];Tailor Swif;5xMjhZKSo8yh5r9b5vrYRr;2024-08-30;155391;['rap', 'east coast hip hop', 'hip hop'];True;74;0.824;0.527;8;-5.506;1;0.118;0.149;0;0.368;0.212;77.499
['Denzel Curry', 'TiaCorine', 'A$AP Ferg'];HOT ONE (with TiaCorine & A$AP Ferg);2TmS5wJTfWrpFgakSSTdCi;2024-07-19;165271;['dark trap', 'pop rap', 'trap', 'underground hip hop', 'drill', 'rap', 'southern hip hop', 'trap queen', 'miami hip hop', 'hip hop'];True;66;0.788;0.715;5;-5.211;1;0.119;0.698;0;0.152;0.819;81.523
['Ramirez'];Na Na Na Na Na (Caught Slippin);6dkYNFH4F8BttEgtjIPoI3;2017-06-10;153260;['dark trap', 'cloud rap', 'phonk'];True;54;0.833;0.895;9;-4.764;1;0.204;0.0623;0.00031;0.317;0.77;93.99
['Mustard', 'Travis Scott'];Parking Lot;4IFd7EVCyJsUHesBMXI8ju;2024-06-21;175321;['pop rap', 'trap', 'slap house', 'rap', 'southern hip hop', 'cali rap'];True;71;0.724;0.555;3;-7.2;1;0.0507;0.17;2.61e-05;0.322;0.408;100.047
['Free Nationals', 'A$AP Rocky', 'Anderson .Paak'];Gangsta;49oKnEjgRSs3DMXScEU2G1;2024-02-23;194521;['neo soul', 'alternative r&b', 'escape room', 'rap', 'east coast hip hop', 'indie soul', 'hip hop'];True;55;0.642;0.784;9;-5.098;0;0.121;0.429;0.000166;0.225;0.518;79.969
['Young Igi', 'Oki', 'Sergiusz', '2K'];BRAK REGU£;1U7pE3ztxh37auLRtIaWrK;2024-05-23;154055;['polish trap', 'polish hip hop'];True;51;0.822;0.728;8;-6.203;1;0.251;0.237;0;0.141;0.676;139.963
['$uicideboy$'];The Thin Grey Line;0lZYlxoSG7DCecuLvMERfP;2024-05-24;105724;['dark trap', 'cloud rap', 'new orleans rap', 'underground hip hop'];True;60;0.761;0.806;1;-4.926;1;0.174;0.0232;1.66e-05;0.277;0.381;142.908
['Travis Scott'];MAFIA;08F16baYbciTva9P4BvpiI;2021-11-05;240000;['rap', 'slap house'];True;66;0.855;0.492;0;-7.578;0;0.0483;0.0775;6.71e-06;0.111;0.385;109.975
['Aaron May'];Let Go;7cLnbmx7ZUWAwyocrKz3wL;2019-02-28;176532;['conscious hip hop'];True;76;0.87;0.498;9;-8.339;0;0.0622;0.046;0;0.146;0.692;110.017
['Pusha T', 'Kanye West'];Dreamin Of The Past (feat. Kanye West);3Wx98ijEDnsxyMYePCuFNI;2022-04-22;173633;['chicago rap', 'pop rap', 'virginia hip hop', 'trap', 'rap', 'southern hip hop', 'gangster rap', 'hip hop'];True;57;0.594;0.913;6;-2.372;0;0.255;0.655;0;0.423;0.897;80.302
['Future', 'Metro Boomin', 'Travis Scott'];Cinderella;0hKtu53OlIFXVuYkZwcn3o;2024-03-22;169840;['trap', 'slap house', 'rap', 'southern hip hop', 'atl hip hop', 'hip hop'];True;76;0.876;0.412;5;-7.74;0;0.0748;0.431;0;0.101;0.15;130.052
['$uicideboy$'];Us Vs. Them;3cmdqMDc0Fj4TgPeyDOYTM;2024-03-29;184633;['dark trap', 'cloud rap', 'new orleans rap', 'underground hip hop'];True;64;0.651;0.906;6;-4.454;1;0.172;0.046;0.214;0.895;0.509;77.978
['Drake', '21 Savage', 'Travis Scott'];Pussy & Millions (feat. Travis Scott);2KLwPaRDOB87XOYAT2fgxh;2022-11-04;242027;['pop rap', 'slap house', 'rap', 'canadian hip hop', 'atl hip hop', 'canadian pop', 'hip hop'];True;69;0.747;0.618;4;-6.685;0;0.111;0.061;0;0.377;0.377;122.09
['Kukon', 'Suwal', 'Kusha'];bezludna wyspa;6dZf6f189d3DX35O8hFgGZ;2024-02-15;189280;['polish trap', 'polish hip hop'];True;43;0.7;0.605;11;-8.059;0;0.329;0.517;0;0.11;0.295;83.836
['Yeat'];Breathe;5NAOhPAZ57eFAXr3qatS6i;2024-02-16;170847;['pluggnb', 'rage rap'];True;73;0.76;0.546;11;-13.092;1;0.0616;0.0284;0.924;0.103;0.113;118.051
['3weeksin'];FLOWIN;11iFMXOe5XEiPx2FohJogW;2023-11-28;125516;[];True;0;0.758;0.838;1;-5.349;1;0.156;0.584;0;0.438;0.509;142.939
['21 Savage'];redrum;52eIcoLUM25zbQupAZYoFh;2024-01-12;270698;['rap', 'atl hip hop', 'hip hop'];True;81;0.625;0.733;2;-8.757;1;0.0488;0.00598;0.000983;0.375;0.244;172.09
['Young Thug', 'Travis Scott', 'Gunna'];Hot (Remix) [feat. Gunna and Travis Scott];4ea9w8c4ROqiZpJVhfBA3m;2019-12-20;279907;['melodic rap', 'trap', 'slap house', 'rap', 'gangster rap', 'atl hip hop', 'atl trap', 'hip hop'];True;71;0.845;0.631;7;-8.206;0;0.216;0.188;0;0.0806;0.545;111.983
['Travis Scott'];5% TINT;11kDth1aKUEUMq9r1pqyds;2018-08-03;196138;['rap', 'slap house'];True;75;0.712;0.481;4;-5.415;0;0.0487;0.173;0;0.241;0.062;140.0
['Travis Scott'];ASTROTHUNDER;4MXhiYIRDMGAuvZc5IFTwC;2018-08-03;142969;['rap', 'slap house'];True;75;0.7;0.46;4;-8.111;0;0.0661;0.142;4.81e-05;0.111;0.286;151.901
['Travis Scott', 'Rob49', '21 Savage'];TOPIA TWINS (feat. Rob49 & 21 Savage);0lodMO0qK83vfPiiD7FMEt;2023-07-28;223174;['slap house', 'new orleans rap', 'rap', 'atl hip hop', 'hip hop'];True;76;0.715;0.567;1;-4.481;0;0.0865;0.06;0;0.0655;0.332;160.098
['Travis Scott'];MY EYES;4kjI1gwQZRKNDkw1nI475M;2023-07-28;251250;['rap', 'slap house'];True;82;0.455;0.621;0;-7.694;0;0.0517;0.651;2.59e-06;0.123;0.28;119.043
['21 Savage', 'Travis Scott', 'Metro Boomin'];née-nah;2yUzr8Sr6ldG8vmHhZwTnz;2024-01-12;220584;['rap', 'atl hip hop', 'slap house', 'hip hop'];True;73;0.681;0.758;1;-6.524;1;0.188;0.00465;0;0.555;0.331;165.409
['Travis Scott', 'Drake'];MELTDOWN (feat. Drake);67nepsnrcZkowTxMWigSbb;2023-07-28;246134;['pop rap', 'slap house', 'rap', 'canadian hip hop', 'canadian pop', 'hip hop'];True;75;0.557;0.774;7;-5.275;0;0.351;0.012;0;0.396;0.397;111.975
['Travis Scott'];THANK GOD;1PH2MDbcBAU094DlgTIND1;2023-07-28;184889;['rap', 'slap house'];True;72;0.657;0.553;10;-7.08;0;0.0394;0.254;0;0.129;0.576;134.925
['Travis Scott', 'James Blake', '21 Savage'];TIL FURTHER NOTICE (feat. James Blake & 21 Savage);76gcXhY3Zv6wW0BTe9nHJo;2023-07-28;314836;['art pop', 'hip hop', 'uk alternative pop', 'slap house', 'rap', 'atl hip hop', 'indie soul', 'indietronica'];True;75;0.65;0.659;3;-6.522;0;0.123;0.174;0.00772;0.126;0.154;76.985
['Lil Skies', 'Landon Cube'];Red Roses (feat. Landon Cube);3ZhTT6yjZwpPph5MIJ53XY;2017-12-12;262544;['melodic rap', 'pop rap'];True;63;0.691;0.683;0;-7.335;1;0.0954;0.547;0;0.221;0.456;140.002
['Travis Scott', 'Yung Lean', 'Dave Chappelle'];PARASAIL (feat. Yung Lean & Dave Chappelle);2Q0aElTZQtEUsoiaQfizu6;2023-07-28;154964;['psychedelic hip hop', 'cloud rap', 'slap house', 'underground hip hop', 'black comedy', 'rap', 'comedy'];False;60;0.361;0.395;5;-8.51;0;0.0429;0.858;0.00356;0.211;0.208;75.923
['Yung Lean', 'Travis Scott'];Ghosttown;7l26dZs9DhSf8xyJ7NxbuP;2014-10-23;309880;['psychedelic hip hop', 'cloud rap', 'slap house', 'underground hip hop', 'rap'];False;52;0.529;0.529;5;-9.035;0;0.0774;0.0737;5.76e-05;0.0921;0.146;126.924
['Yung Lean'];Kyoto;7vQ8hT2jlA6RhxI4ZxISVd;2013-12-10;270000;['psychedelic hip hop', 'cloud rap', 'underground hip hop'];True;58;0.622;0.717;11;-7.449;0;0.208;0.218;2.19e-06;0.113;0.208;116.934
['Travis Scott'];WHO? WHAT!;4KYS9GK68yeuUJ8vJfPxrq;2018-08-03;176720;['rap', 'slap house'];True;67;0.834;0.731;10;-5.603;0;0.0566;0.0462;0;0.0731;0.681;140.001
['Metro Boomin', 'Travis Scott'];Overdue (with Travis Scott);6LyAwkJsHlW7RQ8S1cYAtM;2018-11-06;166093;['rap', 'slap house'];True;77;0.634;0.401;11;-11.212;0;0.0446;0.731;0.000132;0.334;0.494;150.174
['mikeeysmind', 'Sanikwave'];VVV;5XXAkqaDUHTVyBCuVBzCWF;2023-10-21;227613;['sped up'];True;1;0.599;0.907;1;-2.332;1;0.153;0.0027;0;0.396;0.259;154.986
